subject,grade,major,chapterTitle,chapterNo,topicTitle,topicNo,pageStart,pageEnd
زیست‌شناسی,یازدهم,تجربی,تولید مثل نهان‌دانگان,8,تولید مثل جنسی,2,124,129
زیست‌شناسی,یازدهم,تجربی,تولید مثل نهان‌دانگان,8,از یاخته تخم تا گیاه,3,130,136
زیست‌شناسی,یازدهم,تجربی,پاسخ گیاهان به محرک‌ها,9,تنظیم‌کننده‌های رشد در گیاهان,1,137,145
زیست‌شناسی,یازدهم,تجربی,پاسخ گیاهان به محرک‌ها,9,پاسخ به محیط,2,146,152
زیست‌شناسی,دوازدهم,تجربی,مولکول‌های اطلاعاتی,1,نوکلئیک اسیدها,1,2,8
زیست‌شناسی,دوازدهم,تجربی,مولکول‌های اطلاعاتی,1,همانندسازی دنا,2,9,14
زیست‌شناسی,دوازدهم,تجربی,مولکول‌های اطلاعاتی,1,پروتئین‌ها,3,15,20
زیست‌شناسی,دوازدهم,تجربی,جریان اطلاعات در یاخته,2,رونویسی,1,22,26
زیست‌شناسی,دوازدهم,تجربی,جریان اطلاعات در یاخته,2,به سوی پروتئین,2,27,32
زیست‌شناسی,دوازدهم,تجربی,جریان اطلاعات در یاخته,2,تنظیم بیان ژن,3,33,36
زیست‌شناسی,دوازدهم,تجربی,انتقال اطلاعات در نسل‌ها,3,مفاهیم پایه,1,38,41
زیست‌شناسی,دوازدهم,تجربی,انتقال اطلاعات در نسل‌ها,3,انواع صفات,2,42,46
زیست‌شناسی,دوازدهم,تجربی,تغییر در اطلاعات وراثتی,4,تغییر در ماده وراثتی جانداران,1,48,52
زیست‌شناسی,دوازدهم,تجربی,تغییر در اطلاعات وراثتی,4,تغییر در جمعیت‌ها,2,53,56
زیست‌شناسی,دوازدهم,تجربی,تغییر در اطلاعات وراثتی,4,تغییر در گونه‌ها,3,57,62
زیست‌شناسی,دوازدهم,تجربی,از ماده به انرژی,5,تأمین انرژی,1,64,68
زیست‌شناسی,دوازدهم,تجربی,از ماده به انرژی,5,اکسایش بیشتر,2,69,72
زیست‌شناسی,دوازدهم,تجربی,از ماده به انرژی,5,زیستن مستقل از اکسیژن,3,73,76
زیست‌شناسی,دوازدهم,تجربی,از انرژی به ماده,6,فتوسنتز تبدیل انرژی نور به انرژی شیمیایی,1,78,81
زیست‌شناسی,دوازدهم,تجربی,از انرژی به ماده,6,واکنش‌های فتوسنتزی,2,82,86
زیست‌شناسی,دوازدهم,تجربی,از انرژی به ماده,6,فتوسنتز در شرایط دشوار,3,87,90
زیست‌شناسی,دوازدهم,تجربی,فناوری‌های نوین زیستی,7,زیست فناوری و مهندسی ژنتیک,1,92,96
زیست‌شناسی,دوازدهم,تجربی,فناوری‌های نوین زیستی,7,فناوری مهندسی پروتئین و بافت,2,97,100
زیست‌شناسی,دوازدهم,تجربی,فناوری‌های نوین زیستی,7,کاربردهای زیست فناوری,3,101,106
زیست‌شناسی,دوازدهم,تجربی,رفتارهای جانوران,8,اساس رفتار,1,108,111
زیست‌شناسی,دوازدهم,تجربی,رفتارهای جانوران,8,انتخاب طبیعی و رفتار,2,112,115
زیست‌شناسی,دوازدهم,تجربی,رفتارهای جانوران,8,ارتباط و زندگی گروهی,3,116,120
,,,,,,,,
فیزیک,دهم,تجربی,فیزیک و اندازه‌گیری,1,فیزیک: دانش بنیادی,1,2,4
فیزیک,دهم,تجربی,فیزیک و اندازه‌گیری,1,مدل‌سازی در فیزیک,2,5,5
فیزیک,دهم,تجربی,فیزیک و اندازه‌گیری,1,اندازه‌گیری و کمیت‌های فیزیکی,3,6,6
فیزیک,دهم,تجربی,فیزیک و اندازه‌گیری,1,اندازه‌گیری و دستگاه بین‌المللی یکاها,4,7,13
فیزیک,دهم,تجربی,فیزیک و اندازه‌گیری,1,اندازه‌گیری و دقت وسیله‌های اندازه‌گیری,5,14,15
فیزیک,دهم,تجربی,فیزیک و اندازه‌گیری,1,چگالی,6,16,18
فیزیک,دهم,تجربی,ویژگی‌های فیزیکی مواد,2,حالت‌های ماده,1,24,27
فیزیک,دهم,تجربی,ویژگی‌های فیزیکی مواد,2,نیروهای بین مولکولی,2,28,31
فیزیک,دهم,تجربی,ویژگی‌های فیزیکی مواد,2,فشار در شاره‌ها,3,32,39
فیزیک,دهم,تجربی,ویژگی‌های فیزیکی مواد,2,شناوری,4,40,42
فیزیک,دهم,تجربی,ویژگی‌های فیزیکی مواد,2,شاره در حرکت و اصل برنولی,5,43,47
فیزیک,دهم,تجربی,کار، انرژی و توان,3,انرژی جنبشی,1,54,55
فیزیک,دهم,تجربی,کار، انرژی و توان,3,کار انجام شده توسط نیروی ثابت,2,55,60
فیزیک,دهم,تجربی,کار، انرژی و توان,3,کار و انرژی جنبشی,3,61,63
فیزیک,دهم,تجربی,کار، انرژی و توان,3,کار و انرژی پتانسیل,4,64,67
فیزیک,دهم,تجربی,کار، انرژی و توان,3,پایستگی انرژی مکانیکی,5,68,70
فیزیک,دهم,تجربی,کار، انرژی و توان,3,کار و انرژی درونی,6,71,72
فیزیک,دهم,تجربی,کار، انرژی و توان,3,توان,7,73,77
فیزیک,دهم,تجربی,دما و گرما,4,دما و دماسنجی,1,84,86
فیزیک,دهم,تجربی,دما و گرما,4,انبساط گرمایی,2,87,95
فیزیک,دهم,تجربی,دما و گرما,4,گرما,3,96,102
فیزیک,دهم,تجربی,دما و گرما,4,تغییر حالت‌های ماده,4,103,110
فیزیک,دهم,تجربی,دما و گرما,4,روش‌های انتقال گرما,5,111,117
,,,,,,,,
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,بار الکتریکی,1,1,2
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,پایستگی و کوانتیده بودن بار الکتریکی,2,3,4
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,قانون کولن,3,5,9
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,میدان الکتریکی,4,10,10
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,میدان الکتریکی حاصل از یک ذره باردار,5,11,15
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,خطوط میدان الکتریکی,6,16,19
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,انرژی پتانسیل الکتریکی,7,20,21
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,پتانسیل الکتریکی,8,22,24
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,توزیع بار الکتریکی در اجسام رسانا,9,25,27
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,خازن,10,28,32
فیزیک,یازدهم,تجربی,الکتریسیته ساکن,1,انرژی خازن,11,33,35
فیزیک,یازدهم,تجربی,جریان الکتریکی و مدارهای جریان مستقیم,2,جریان الکتریکی,1,40,42
فیزیک,یازدهم,تجربی,جریان الکتریکی و مدارهای جریان مستقیم,2,مقاومت الکتریکی و قانون اهم,2,43,44
فیزیک,یازدهم,تجربی,جریان الکتریکی و مدارهای جریان مستقیم,2,عوامل مؤثر بر مقاومت الکتریکی,3,45,49
فیزیک,یازدهم,تجربی,جریان الکتریکی و مدارهای جریان مستقیم,2,نیروی محرکه الکتریکی و مدارها,4,50,52
فیزیک,یازدهم,تجربی,جریان الکتریکی و مدارهای جریان مستقیم,2,توان در مدارهای الکتریکی,5,53,54
فیزیک,یازدهم,تجربی,جریان الکتریکی و مدارهای جریان مستقیم,2,ترکیب مقاومت‌ها,6,55,61
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,مغناطیس و قطب‌های مغناطیسی,1,66,66
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,میدان مغناطیسی,2,67,70
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,نیروی مغناطیسی وارد بر ذره باردار متحرک در میدان مغناطیسی,3,71,72
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,نیروی مغناطیسی وارد بر سیم حامل جریان,4,73,75
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,میدان مغناطیسی حاصل از جریان الکتریکی,5,76,82
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,ویژگی‌های مغناطیسی مواد,6,83,84
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,پدیده القای الکترومغناطیسی,7,85,86
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,قانون القای الکترومغناطیسی فاراده,8,87,90
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,قانون لنز,9,91,92
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,القاگرها,10,93,96
فیزیک,یازدهم,تجربی,مغناطیس و القای الکترومغناطیسی,3,جریان متناوب,11,97,99
,,,,,,,,
فیزیک,دوازدهم,تجربی,حرکت بر خط راست,1,شناخت حرکت,1,2,12
فیزیک,دوازدهم,تجربی,حرکت بر خط راست,1,حرکت با سرعت ثابت,2,13,14
فیزیک,دوازدهم,تجربی,حرکت بر خط راست,1,حرکت با شتاب ثابت,3,15,21
فیزیک,دوازدهم,تجربی,دینامیک,2,قوانین حرکت نیوتون,1,28,34
فیزیک,دوازدهم,تجربی,دینامیک,2,معرفی برخی از نیروهای خاص,2,35,43
فیزیک,دوازدهم,تجربی,دینامیک,2,تکانه و قانون دوم نیوتون,3,44,46
فیزیک,دوازدهم,تجربی,دینامیک,2,نیروی گرانشی,4,47,49
فیزیک,دوازدهم,تجربی,نوسان و امواج,3,نوسان دوره‌ای,1,54,54
فیزیک,دوازدهم,تجربی,نوسان و امواج,3,حرکت هماهنگ ساده,2,55,57
فیزیک,دوازدهم,تجربی,نوسان و امواج,3,انرژی در حرکت هماهنگ ساده,3,58,59
فیزیک,دوازدهم,تجربی,نوسان و امواج,3,تشدید,4,60,61
فیزیک,دوازدهم,تجربی,نوسان و امواج,3,موج و انواع آن,5,61,62
فیزیک,دوازدهم,تجربی,نوسان و امواج,3,مشخصه‌های موج,6,63,75
فیزیک,دوازدهم,تجربی,نوسان و امواج,3,بازتاب موج,7,76,78
فیزیک,دوازدهم,تجربی,نوسان و امواج,3,شکست موج,8,78,88
فیزیک,دوازدهم,تجربی,آشنایی با فیزیک اتمی و هسته‌ای,4,اثر فوتوالکتریک و فوتون,1,96,98
فیزیک,دوازدهم,تجربی,آشنایی با فیزیک اتمی و هسته‌ای,4,طیف خطی,2,99,102
فیزیک,دوازدهم,تجربی,آشنایی با فیزیک اتمی و هسته‌ای,4,مدل اتم رادرفورد - بور,3,103,109
فیزیک,دوازدهم,تجربی,آشنایی با فیزیک اتمی و هسته‌ای,4,لیزر,4,110,111
فیزیک,دوازدهم,تجربی,آشنایی با فیزیک اتمی و هسته‌ای,4,ساختار هسته,5,112,114
فیزیک,دوازدهم,تجربی,آشنایی با فیزیک اتمی و هسته‌ای,4,پرتوزایی طبیعی و نیمه‌عمر,6,115,121
شیمی,دهم,تجربی,کیهان، زادگاه عنصرها,1,,,1,46
شیمی,دهم,تجربی,رد پای گازها در زندگی,2,,,47,84
شیمی,دهم,تجربی,آب، آهنگ زندگی,3,,,85,125
شیمی,یازدهم,تجربی,قدر هدایای زمینی را بدانیم,1,,,1,50
شیمی,یازدهم,تجربی,در پی غذای سالم,2,,,51,98
شیمی,یازدهم,تجربی,پوشاک نیازی پایان‌ناپذیر,3,,,99,123
,,,,,,,,
شیمی,دوازدهم,تجربی,مولکول‌ها در خدمت تندرستی,1,,,1,36
شیمی,دوازدهم,تجربی,آسایش و رفاه در سایه شیمی,2,,,37,66
شیمی,دوازدهم,تجربی,شیمی، جلوه‌ای از هنر، زیبایی و ماندگاری,3,,,67,90
شیمی,دوازدهم,تجربی,شیمی، راهی به سوی آینده‌ای روشن‌تر,4,,,91,123
,,,,,,,,
ریاضی,دهم,تجربی,مجموعه، الگو و دنباله,1,مجموعه‌های متناهی و نامتناهی,1,2,7
ریاضی,دهم,تجربی,مجموعه، الگو و دنباله,1,متمم یک مجموعه,2,8,13
ریاضی,دهم,تجربی,مجموعه، الگو و دنباله,1,الگو و دنباله,3,14,20
ریاضی,دهم,تجربی,مجموعه، الگو و دنباله,1,دنباله‌های حسابی و هندسی,4,21,27
ریاضی,دهم,تجربی,مثلثات,2,نسبت‌های مثلثاتی,1,29,35
ریاضی,دهم,تجربی,مثلثات,2,دایره مثلثاتی,2,36,41
ریاضی,دهم,تجربی,مثلثات,2,روابط بین نسبت‌های مثلثاتی,3,42,46
ریاضی,دهم,تجربی,توان‌های گویا و عبارت‌های جبری,3,ریشه و توان,1,48,53
ریاضی,دهم,تجربی,توان‌های گویا و عبارت‌های جبری,3,ریشه nام,2,54,58
ریاضی,دهم,تجربی,توان‌های گویا و عبارت‌های جبری,3,توان‌های گویا,3,59,60
ریاضی,دهم,تجربی,توان‌های گویا و عبارت‌های جبری,3,عبارت‌های جبری,4,61,68
ریاضی,دهم,تجربی,معادله‌ها و نامعادله‌ها,4,معادله درجه دوم و روش‌های مختلف حل آن,1,70,78
ریاضی,دهم,تجربی,معادله‌ها و نامعادله‌ها,4,سهمی,2,79,82
ریاضی,دهم,تجربی,معادله‌ها و نامعادله‌ها,4,تعیین علامت,3,83,93
ریاضی,دهم,تجربی,تابع,5,مفهوم تابع و بازنمایی‌های آن,1,95,100
ریاضی,دهم,تجربی,تابع,5,دامنه و برد توابع,2,101,108
ریاضی,دهم,تجربی,تابع,5,انواع تابع,3,109,117
ریاضی,دهم,تجربی,شمارش بدون شمردن,6,شمارش,1,119,126
ریاضی,دهم,تجربی,شمارش بدون شمردن,6,جایگشت,2,127,132
ریاضی,دهم,تجربی,شمارش بدون شمردن,6,ترکیب,3,133,140
ریاضی,دهم,تجربی,آمار و احتمال,7,احتمال یا اندازه‌گیری شانس,1,142,151
ریاضی,دهم,تجربی,آمار و احتمال,7,مقدمه‌ای بر علم آمار، جامعه و نمونه,2,152,158
ریاضی,دهم,تجربی,آمار و احتمال,7,متغیر و انواع آن,3,159,164
,,,,,,,,
ریاضی,دوازدهم,تجربی,تابع,1,توابع چندجمله‌ای - توابع صعودی و نزولی,1,2,10
ریاضی,دوازدهم,تجربی,تابع,1,ترکیب توابع,2,11,23
ریاضی,دوازدهم,تجربی,تابع,1,تابع وارون,3,24,30
ریاضی,دوازدهم,تجربی,مثلثات,2,تناوب و تانژانت,1,32,41
ریاضی,دوازدهم,تجربی,مثلثات,2,معادلات مثلثاتی,2,42,48
ریاضی,دوازدهم,تجربی,حد بی‌نهایت و حد در بی‌نهایت,3,حد بی‌نهایت,1,50,57
ریاضی,دوازدهم,تجربی,حد بی‌نهایت و حد در بی‌نهایت,3,حد در بی‌نهایت,2,58,64
ریاضی,دوازدهم,تجربی,مشتق,4,آشنایی با مفهوم مشتق,1,66,76
ریاضی,دوازدهم,تجربی,مشتق,4,مشتق‌پذیری و پیوستگی,2,77,92
ریاضی,دوازدهم,تجربی,مشتق,4,آهنگ تغییر,3,93,100
ریاضی,دوازدهم,تجربی,کاربرد مشتق,5,اکسترمم‌های تابع,1,102,112
ریاضی,دوازدهم,تجربی,کاربرد مشتق,5,بهینه‌سازی,2,113,120
ریاضی,دوازدهم,تجربی,هندسه,6,تفکر تجسمی و آشنایی با مقاطع مخروطی,1,122,133
ریاضی,دوازدهم,تجربی,هندسه,6,دایره,2,134,142
ریاضی,دوازدهم,تجربی,احتمال,7,قانون احتمال کل,1,144,176
ریاضی,یازدهم,تجربی,هندسه تحلیلی و جبر,1,هندسه تحلیلی,1,2,10
ریاضی,یازدهم,تجربی,هندسه تحلیلی و جبر,1,معادله درجه دوم و تابع درجه ۲,2,11,18
ریاضی,یازدهم,تجربی,هندسه تحلیلی و جبر,1,معادلات گویا و معادلات رادیکالی,3,19,24
ریاضی,یازدهم,تجربی,هندسه,2,ترسیم‌های هندسی,1,26,30
ریاضی,یازدهم,تجربی,هندسه,2,استدلال و قضیه تالس,2,31,41
ریاضی,یازدهم,تجربی,هندسه,2,تشابه مثلث‌ها,3,42,46
ریاضی,یازدهم,تجربی,تابع,3,آشنایی با برخی از انواع توابع,1,48,56
ریاضی,یازدهم,تجربی,تابع,3,وارون یک تابع و تابع یک به یک,2,57,64
ریاضی,یازدهم,تجربی,تابع,3,اعمال جبری روی توابع,3,65,70
ریاضی,یازدهم,تجربی,مثلثات,4,واحدهای اندازه‌گیری زاویه,1,72,76
ریاضی,یازدهم,تجربی,مثلثات,4,روابط تکمیلی بین نسبت‌های مثلثاتی,2,77,87
ریاضی,یازدهم,تجربی,مثلثات,4,توابع مثلثاتی,3,88,94
ریاضی,یازدهم,تجربی,توابع نمایی و لگاریتمی,5,تابع نمایی و ویژگی‌های آن,1,96,104
ریاضی,یازدهم,تجربی,توابع نمایی و لگاریتمی,5,تابع لگاریتمی و ویژگی‌های آن,2,105,114
ریاضی,یازدهم,تجربی,توابع نمایی و لگاریتمی,5,نمودارها و کاربردهای توابع نمایی و لگاریتمی,3,115,118
ریاضی,یازدهم,تجربی,حد و پیوستگی,6,فرایندهای حدی,1,120,127
ریاضی,یازدهم,تجربی,حد و پیوستگی,6,محاسبه حد توابع,2,128,136
ریاضی,یازدهم,تجربی,حد و پیوستگی,6,پیوستگی,3,137,142
ریاضی,یازدهم,تجربی,آمار و احتمال,7,احتمال شرطی و پیشامدهای مستقل,1,144,152
ریاضی,یازدهم,تجربی,آمار و احتمال,7,آمار توصیفی,2,153,166
